number of units,learning rate,normalisation flag,number of epoches,weight_x,weight_y
3,0.05,0,10,0.190428284,0.482824091
,,,,0.904282845,0.828240912
,,,,0.042828448,0.282409119
,,,,0.428284483,0.82409119
,,,,0.282844828,0.240911904
,,,,0.828448282,0.409119043
,,,,0.284482824,0.091190428
,,,,0.84482824,0.91190428
,,,,0.4482824,0.119042802
,,,,0.482823997,0.190428017
,,,,0.828239973,0.904280175
,,,,0.282399734,0.042801748
,,,,0.823997337,0.428017484
,,,,0.239973367,0.280174838
,,,,0.399733671,0.801748378
,,,,0.997336709,0.017483782
,,,,0.97336709,0.174837822
,,,,0.7336709,0.748378224
,,,,0.336708999,0.483782241
,,,,0.367089988,0.837822415
,,,,0.670899877,0.378224147
,,,,0.708998773,0.78224147
,,,,0.089987732,0.822414702
,,,,0.899877325,0.224147018
,,,,0.998773247,0.24147018
,,,,0.98773247,0.414701805
,,,,0.8773247,0.147018045
,,,,0.773247004,0.470180452
,,,,0.732470036,0.701804519
,,,,0.324700356,0.018045187
,,,,0.247003555,0.18045187
,,,,0.470035553,0.8045187
,,,,0.70035553,0.045186996
,,,,0.003555298,0.451869965
,,,,0.035552979,0.518699646
,,,,0.355529785,0.18699646
,,,,0.555297852,0.8699646
,,,,0.552978516,0.699645996
,,,,0.529785156,0.996459961
,,,,0.297851563,0.964599609
,,,,0.978515625,0.645996094
